firstName,lastName,aveTime,winPercentage,fighterId
Jason,Dent,96.1470588235294,62.857142857142854,187
Nick,Diaz,198.1081081081081,68.42105263157895,188
Fabrício,Camões,275.2608695652174,58.333333333333336,189
Adriano,Martins,173.57142857142858,67.44186046511628,190
Eiji,Mitsuoka,145.25,62.06896551724138,191
Thiago,Alves,182.0,60.526315789473685,193
Shinya,Aoki,124.91525423728814,80.0,194
Eduard,Folayang,169.6,63.888888888888886,195
Bart,Palaszewski,78.73076923076923,67.9245283018868,196
Dave,Jansen,137.52173913043478,83.33333333333334,197
Will,Kerr,182.54545454545453,75.0,198
Mike,Bronzoulis,136.5,62.06896551724138,199
Elias,Silvério,154.67741935483872,62.5,200
Abdul-Aziz,Abdulvakhabov,219.45454545454547,91.30434782608695,201
Bubba,Jenkins,158.3448275862069,70.0,202
Eduard,Vartanyan,160.0,86.66666666666667,203
Magomedrasul,Khasbulaev,112.0,80.95238095238095,204
Sergey,Golyaev,141.3030303030303,67.64705882352942,205
Ramazan,Emeev,206.88888888888889,78.57142857142857,206
Pat,Curran,135.93548387096774,71.875,207
Rad,Martinez,132.52941176470588,83.33333333333334,208
Mike,Richman,140.84,69.23076923076923,209
Ilia,Topuria,232.86666666666667,100.0,210
Alexander,Volkanovski,147.9655172413793,86.66666666666667,211
Yair,Rodríguez,198.91666666666666,76.0,212
Calvin,Kattar,207.96774193548387,71.875,213
Frankie,Edgar,180.97142857142856,66.66666666666666,214
Ricardo,Lamas,170.37037037037038,71.42857142857143,215
Cole,Miller,131.71875,63.63636363636363,216
Clay,Collard,125.43589743589743,62.5,217
Dennis,Bermudez,134.44,65.38461538461539,218
Leonard,Garcia,183.09677419354838,56.25,219
Justin,Lawrence,179.13333333333333,68.75,220
Brad,Riddell,258.53846153846155,71.42857142857143,221
Alex,White,217.42105263157896,70.0,222
Magomed,Mustafaev,201.375,82.35294117647058,223
Arman,Tsarukyan,130.125,88.0,224
Jared,Gordon,180.96296296296296,71.42857142857143,225
David,Teymur,214.66666666666666,80.0,226
Christos,Giagos,162.83870967741936,62.5,227
Hatsu,Hioki,137.83333333333334,67.44186046511628,228
Andy,Ogle,137.42857142857142,60.0,229
Alexandre,Bezerra,146.21428571428572,75.86206896551724,230
Mehdi,Baghdad,290.22222222222223,63.1578947368421,231
Viscardi,Andrade,183.1290322580645,65.625,232
Sidney,Outlaw,178.16666666666666,76.0,233
Patrício,Pitbull,174.23809523809524,83.72093023255815,234
Brent,Primus,272.63157894736844,75.0,235
Brandon,Girtz,182.76,61.53846153846154,236
Goiti,Yamauchi,142.97142857142856,80.55555555555556,237
David,Rickels,124.25,72.41379310344827,238
Derek,Campos,169.80645161290323,62.5,239
Akihiro,Gono,157.27941176470588,53.62318840579711,240
Lloyd,Woodard,256.1363636363636,65.21739130434783,241
Marcin,Held,151.97435897435898,75.0,242
Paddy,Pimblett,179.25,88.0,243
Lando,Vannata,199.5,57.14285714285714,244
Katsunori,Kikuno,117.21212121212122,70.58823529411765,245
Mike,Rio,169.42857142857142,66.66666666666666,246
Yves,Edwards,95.93846153846154,63.63636363636363,247
Aaron,Riley,133.02272727272728,66.66666666666666,248
Ramsey,Nijem,269.5,52.63157894736842,249
Karen,Darabedyan,215.89473684210526,70.0,250
Joe,Schilling,474.44444444444446,40.0,251
Alex,Morono,144.65714285714284,66.66666666666666,252
Niko,Price,184.84,61.53846153846154,253
Alexander,Hernandez,198.54545454545453,65.21739130434783,254
Mike,Perry,114.66666666666667,63.63636363636363,255
Darren,Till,155.52173913043478,75.0,256
Matt,Brown,153.0,55.81395348837209,257
Rick,Story,133.36666666666667,67.74193548387096,258
Patrick,Côté,159.6969696969697,67.64705882352942,259
Vagner,Rocha,172.05882352941177,77.77777777777779,260
Paul,Kelly,280.7894736842105,75.0,261
Chris,Horodecki,143.3448275862069,70.0,262
Ed,Ratcliff,209.77777777777777,70.0,263
Rob,McCullough,140.07692307692307,70.37037037037037,264
Ryan,Roberts,110.55882352941177,60.0,265
Nate,Mohr,142.33333333333334,56.25,266
André,Fialho,143.32,61.53846153846154,267
Polo,Reyes,230.31578947368422,55.00000000000001,268
Jake,Matthews,167.77777777777777,75.0,269
Nick,Hein,188.6315789473684,70.0,270
Ok,Rae-yoon,176.28571428571428,72.72727272727273,271
Timofey,Nastyukhin,233.9047619047619,63.63636363636363,272
Roger,Huerta,198.15384615384616,60.0,273
Toby,Imada,116.35416666666667,61.224489795918366,274
Eric,Reynolds,117.77777777777777,64.28571428571429,275
Tatsuya,Kawajiri,136.96153846153845,69.81132075471697,276
Joachim,Hansen,161.78378378378378,60.526315789473685,277
André,Amado,205.3,54.54545454545454,278
